access	/ˈækˌsɛs/	v. 获取 n. 接近，入口
boundary	/ˈbaʊndɝi/, /ˈbaʊndɹi/	n. 分界线， 边界
rob	/ˈɹɑb/	vt. 抢劫， 盗窃
elderly	/ˈɛɫdɝɫi/	adj. 较老的，年长的 n. 到了晚年的人， 老年人
financial	/ˌfaɪˈnænʃəɫ/, /fəˈnænʃəɫ/, /fɪˈnænʃəɫ/	adj. 财政的， 金融的
rod	/ˈɹɑd/	n. 杆， 棒
dumb	/ˈdəm/	adj. 哑的； 无言的； 说不出话的
respective	/ɹiˈspɛktɪv/, /ɹɪˈspɛktɪv/	adj. 各自的， 各个的， 分别的
media	/ˈmidiə/	n. 新闻媒介， 传播媒介
favour	/ˈfeɪvɝ/	n. 好感；赞同；恩惠 vt. 赞同； 喜爱， 偏爱； 有利于
pollute	/pəˈɫut/	vt. 弄脏， 污染； 腐蚀
harden	/ˈhɑɹdən/	v. 变硬； 变得坚强
eve	/ˈiv/	n. 前夜， 前夕， 前一刻
pronoun	/ˈpɹoʊnaʊn/	n. 代词
define	/dɪˈfaɪn/	vt. 给…下定义， 限定
dictate	/ˈdɪkˌteɪt/, /dɪkˈteɪt/	v. 口授； 命令， 规定， 要求 n. 命令， 指挥
construction	/kənˈstɹəkʃən/	n. 建造； 建筑物； 结构
predict	/pɹiˈdɪkt/, /pɹɪˈdɪkt/	vt. 预言， 预告， 预测
dump	/ˈdəmp/	vt. 倾卸，倾倒；倾销 n. 垃圾场
render	/ˈɹɛndɝ/	vt. 使得， 致使； 给予， 提供； 翻译
universal	/ˌjunəˈvɝsəɫ/	adj. 普遍的； 通用的； 全世界的
chemist	/ˈkɛmɪst/	n. 化学家， 药剂师
frontier	/fɹənˈtɪɹ/	n. 边境， 边疆； 新领域
abroad	/əˈbɹɔd/	adv. 到国外； 在传播， 在流传
radical	/ˈɹædəkəɫ/, /ˈɹædɪkəɫ/	adv. 根本的，基本的；激进的，激进派的 n. 激进分子
relieve	/ɹiˈɫiv/, /ɹɪˈɫiv/	vt. 使轻松， 使宽慰， 缓解； 使得到调剂； 接替
drawer	/ˈdɹɔɹ/	n. 抽屉
requirement	/ɹɪˈkwaɪɹmənt/	n. 要求； 必要条件； 需要， 需要的东西
transport	/ˈtɹænspɔɹt/, /tɹænˈspɔɹt/	vt. 运输 n. 运输， 运输工具
employment	/ɛmˈpɫɔɪmənt/, /ɪmˈpɫɔɪmənt/	n. 工作； 雇用； 使用
specific	/spəˈsɪfɪk/, /spɪˈsɪfɪk/	adj. 特有的；具体的，明确的 n. 详情， 细节
application	/ˌæpɫəˈkeɪʃən/	n. 申请， 申请书； 施用， 涂抹； 应用， 实施； 实用性
engage	/ɛnˈɡeɪdʒ/	vt. 使从事； 聘用； 吸引； 占用； 使订婚
acre	/ˈeɪkɝ/	n. 英亩
whisper	/ˈhwɪspɝ/, /ˈwɪspɝ/	v. 低声地讲 n. 低语， 耳语
appetite	/ˈæpəˌtaɪt/	n. 食欲， 胃口； 欲望
semester	/səˈmɛstɝ/	n. 学期
strategy	/ˈstɹætədʒi/	n. 战略， 策略
dull	/ˈdəɫ/	adj. 乏味的， 单调的； 晦暗的， 阴沉的； 低沉的； 笨的； 钝的
collapse	/kəˈɫæps/	v. 倒坍；塌下 n. 突然失败；突然瓦解
clumsy	/ˈkɫəmzi/	adj. 笨拙的， 愚笨的； 粗陋的； 不得体的
territory	/ˈtɛɹɪˌtɔɹi/	n. 领土， 版图； 领域
concession	/kənˈsɛʃən/	n. 让步， 妥协； 特许， 特许权； 承认， 认可
accurate	/ˈækjɝət/	adj. 准确的， 正确无误的
maintain	/meɪnˈteɪn/	vt. 维持； 维修， 保养； 主张； 赡养
shift	/ˈʃɪft/	v. 移动，转移；改变，转变 n. 转换， 转变； 轮班
echo	/ˈɛkoʊ/	v. 重复， 模仿； 发出回声 n. 回声；反响，共鸣
erect	/ɪˈɹɛkt/	adj. 竖直的， 垂直的 vt. 建造；使竖立
bargain	/ˈbɑɹɡən/, /ˈbɑɹɡɪn/	vi. 讨价还价 n. 特价商品；协议，交易
professional	/pɹəˈfɛʃənəɫ/	adj. 职业的，专业的，专门的 n. 自由职业者， 专业人员
elective	/ɪˈɫɛktɪv/	adj. 选举的，有选举权的；可任意选择的 n. 选修课程
accusation	/ˌækjəˈzeɪʃən/, /ˌækjuˈzeɪʃən/	n. 谴责； 【律】 指控
protein	/ˈpɹoʊˌtin/	n. 蛋白质
annual	/ˈænjuəɫ/	adj. 每年的，一年一次的 n. 年报， 年鉴； 一年生的植物
exclusive	/ɪkˈskɫusɪv/	adj. 奢华的，高级的；独有的，独享的；排斥的，排他的；不包括…的，不把…计算在内的 n. 独家新闻
jar	/ˈdʒɑɹ/	v. 感到不快； 震动， 摇动 n. 罐子，坛子，广口瓶
poverty	/ˈpɑvɝti/	n. 贫穷， 贫困
resort	/ɹiˈsɔɹt/, /ɹiˈzɔɹt/, /ɹɪˈzɔɹt/	vi. 求助，凭借，诉诸 n. 求助， 凭借， 诉诸； 求助的对象， 采用的手段； 常去之地， 胜地
goodness	/ˈɡʊdnəs/, /ˈɡʊdnɪs/	int. 天哪 n. 善良， 美德， 好意
lightning	/ˈɫaɪtnɪŋ/	n. 闪电， 电光
jaw	/ˈdʒɔ/	n. 颌， 颚
margin	/ˈmɑɹdʒən/	n. 页边空白； 差数， 差额； 余地； 边缘
remain	/ɹiˈmeɪn/, /ɹɪˈmeɪn/	vi. 剩下，余留；保持；仍然是 n. 残余； 残骸； 遗迹
amaze	/əˈmeɪz/	vt. 使惊奇， 使惊愕
refine	/ɹəˈfaɪn/, /ɹɪˈfaɪn/	vt. 精炼， 精制， 提纯； 使优美， 使完善
mount	/ˈmaʊnt/	v. 登上；发起；安放；增加，加剧 n. 山， 峰
demand	/dɪˈmænd/	vt. 要求， 需要； 查问
mystery	/ˈmɪstɝi/	n. 神秘； 神秘的人
atomic	/əˈtɑmɪk/	adj. 原子的， 原子能的， 原子武器的
deposit	/dəˈpɑzɪt/, /dɪˈpɑzət/	vt. 使沉淀；存放，储蓄 n. 定金， 押金； 存款； 矿藏
centimetre	/ˈsɛntəˌmitɝ/	n. 公分， 厘米
telescope	/ˈtɛɫəˌskoʊp/	n. 望远镜
rotten	/ˈɹɑtən/	adj. 腐烂的； 令人不愉快的； 糟糕的
skillful	/ˈskɪɫfəɫ/	adj. 灵巧的， 娴熟的
flash	/ˈfɫæʃ/	vi. 闪， 闪烁； 飞驰 n. 闪光；闪光灯
accuse	/əkˈjuz/	vt. 指责， 归咎于
housing	/ˈhaʊzɪŋ/	n. 房屋， 住宅； 住房建筑， 住房供给； 外壳， 外罩
devil	/ˈdɛvəɫ/	n. 魔鬼， 恶魔； 家伙， 人
guarantee	/ˌɡɛɹənˈti/	n. 保证；保证书；担保物 vt. 保证， 担保
recommend	/ˌɹɛkəˈmɛnd/	vt. 推荐， 举荐； 劝告， 建议； 使成为可取； 使受欢迎
acquire	/əˈkwaɪɝ/	vt. 取得， 获得， 学到
fertile	/ˈfɝtəɫ/, /fɝˈtaɪɫ/	adj. 肥沃的； 多产的； 丰富的
automobile	/ˈɔtəmoʊˌbiɫ/, /ˌɔtəmoʊˈbiɫ/	n. 汽车， 机动车
notion	/ˈnoʊʃən/	n. 概念， 观念； 意图， 想法， 念头
diversity	/daɪˈvɝsɪti/, /dɪˈvɝsɪti/	n. 多样性； 差异； 不同点
helicopter	/ˈhɛɫɪˌkɑptɝ/	n. 直升机
tractor	/ˈtɹæktɝ/	n. 拖拉机， 牵引车
patience	/ˈpeɪʃəns/	n. 忍耐， 耐心
grace	/ˈɡɹeɪs/	n. 优美，优雅；风度，魅力；宽限，缓期 vt. 使优美
advertisement	/ˌædvɝˈtaɪzmənt/, /ædˈvɝtəzmənt/	n. 广告， 公告， 登广告； 广告活动， 宣传
ripe	/ˈɹaɪp/	adj. 熟的； 时机成熟的
attribute	/ˈætɹəbˌjut/, /əˈtɹɪbˌjut/	vt. 把…归因于 n. 属性
mechanism	/ˈmɛkəˌnɪzəm/	n. 机械装置； 机制， 机理； 办法， 途径
detection	/dɪˈtɛkʃən/	n. 察觉， 发觉； 侦查， 探测
triumph	/ˈtɹaɪəmf/	vi. 成功 n. 凯旋，胜利
vice	/ˈvaɪs/	n. 罪恶； 恶习， 缺点； 虎钳
horror	/ˈhɔɹɝ/	n. 恐怖； 憎恶； 令人恐怖的事物
poison	/ˈpɔɪzən/	n. 毒，毒药 vt. 毒害
thoughtful	/ˈθɔtfəɫ/	adj. 沉思的； 体贴的
gram	/ˈɡɹæm/	n. 克
empower	/ɪmˈpaʊɝ/	vt. 授权于； 使能够
riot	/ˈɹaɪət/	vi. 聚众闹事 n. 暴乱，骚乱；极度丰富 vt. 把浪费在放荡的生活上
arouse	/ɝˈaʊz/	vt. 引起； 唤起， 唤醒
nest	/ˈnɛst/	v. 筑巢 n. 巢，窝，穴
tour	/ˈtʊɹ/	n&vi. 旅行， 游历
calm	/ˈkɑɫm/, /ˈkɑm/	adj. 静的，平静的 v. 平静， 镇静
boring	/ˈbɔɹɪŋ/	adj. 令人厌烦的， 乏味的， 无聊的
classic	/ˈkɫæsɪk/	adj. 最优秀的，典型的，标准的；传统式样的，典雅的 n. 文学名著， 经典作品， 杰作； 优秀的典范； 古典文学， 古典语文研究
ownership	/ˈoʊnɝˌʃɪp/	n. 所有， 所有制
metric	/ˈmɛtɹɪk/	adj. 公制的， 米制的
absolute	/ˈæbsəˌɫut/	adj. 十足的， 地道的； 绝对的， 完全的； 不受任何限制的
ash	/ˈæʃ/	n. 灰， 灰末； 骨灰
describe	/dɪsˈkɹaɪb/	vt. 形容； 描写； 画出
suck	/ˈsək/	v. 吸， 吮， 啜； 吸收
grab	/ˈɡɹæb/	v. 抓取，攫取；赶紧做；抓住；抓，夺 n. 抓， 夺
rub	/ˈɹəb/	vt. 擦， 摩擦
presently	/ˈpɹɛzəntɫi/	adv. 不久， 一会儿； 现在， 目前
wealthy	/ˈwɛɫθi/	adj. 富有的， 富裕的
rug	/ˈɹəɡ/	n. 地毯
jazz	/ˈdʒæz/	n. 爵士音乐， 爵士舞曲
dusk	/ˈdəsk/	n. 薄暮， 黄昏； 幽暗
administration	/ædˌmɪnɪˈstɹeɪʃən/	n. 管理； 管理部门， 行政机关； 实行， 执行
occasional	/əˈkeɪʒənəɫ/	adj. 偶尔的， 间或发生的
boast	/ˈboʊst/	vi. 自夸；自豪 vt. 自夸，吹嘘；以拥有…而自豪 n. 自吹自擂， 自夸的话
operator	/ˈɑpɝˌeɪtɝ/	n. 操作人员； 话务员， 报务员
debate	/dəˈbeɪt/	n&v. 争论， 辩论
spacecraft	/ˈspeɪsˌkɹæft/	n. 航天器， 宇宙飞船
furniture	/ˈfɝnɪtʃɝ/	n. 家具
segment	/ˈsɛɡmənt/, /ˌsɛɡˈmɛnt/	n. 部分， 片段； 瓣
stripe	/ˈstɹaɪp/	n. 条纹
jet	/ˈdʒɛt/	vi. 乘喷气式飞机 n. 喷气式飞机；喷嘴；喷射
helpful	/ˈhɛɫpfəɫ/	adj. 给予帮助的； 有用的
statistic	/stəˈtɪstɪk/	n. 统计数值， 统计资料； 统计学
attractive	/əˈtɹæktɪv/	adj. 有吸引力的， 引起注意的
superb	/sʊˈpɝb/	adj. 极好的； 高质量的
mold	/ˈmoʊɫd/	n. 霉，霉菌；模型，铸模；性格 vt. 用模子制作， 塑造； 使形成， 影响…的形成
engineering	/ˈɛndʒəˈnɪɹɪŋ/	n. 工程， 工程学
significant	/səɡˈnɪfɪkənt/, /sɪɡˈnɪfɪkənt/	adj. 相当数量的； 重要的， 意义重大的， 意味深长的
bold	/ˈboʊɫd/	adj. 勇敢的； 鲁莽的； 粗体的， 黑体的； 醒目的
bleed	/ˈbɫid/	vi. 出血， 流血； 泌脂 vt. 勒索…的钱
delicious	/dɪˈɫɪʃəs/	adj. 美味的； 芬芳的， 怡人的； 有趣的
catalogue	/ˈkætəˌɫɔɡ/	n. 目录 v. 为…编目录，把…列入目录中
whatever	/ˌhwəˈtɛvɝ/, /ˌwəˈtɛvɝ/	adv. [用于否定句中以加强语气]任何； 无论什么
decrease	/ˈdiˌkɹis/, /dɪˈkɹis/	v. 减少 n. 减少
volunteer	/ˌvɑɫənˈtɪɹ/	v. 自愿提供； 自愿， 志愿 n. 志愿者；志愿兵
museum	/ˈmjuziəm/, /mjuˈziəm/	n. 博物馆
ignorance	/ˈɪɡnɝəns/	n. 无知， 愚昧
senate	/ˈsɛnət/, /ˈsɛnɪt/	n. 参议院， 上院
trumpet	/ˈtɹəmpət/	n. 喇叭，小号 vt. 大声宣告， 鼓吹
bolt	/ˈboʊɫt/	n. 螺栓，插销 vt. 闩门
string	/ˈstɹɪŋ/	vi. 连成一串； 排成一行前进 n. 线，细绳；一串，一行 vt. 缚，扎，挂；串起，穿；使排成一列；伸展，拉直
import	/ˈɪmˌpɔɹt/, /ˌɪmˈpɔɹt/	vt. 输入， 进口 n. 输入， 进口； 进口商品； 意义， 重要性
occupy	/ˈɑkjəˌpaɪ/	vt. 占领， 占， 占有
submit	/səbˈmɪt/	vi. 屈从， 听从， 服从 vt. 呈送，提交；主张，建议；使服从，使降服
mood	/ˈmud/	n. 心情， 情绪； 语气
boom	/ˈbum/	vi. 激增， 繁荣， 迅速发展； 发出隆隆声 n. 激增，繁荣，迅速发展；隆隆声，嗡嗡声
absence	/ˈæbsəns/	n. 缺席， 不在； 缺席的时间， 外出期； 缺乏， 不存在
attract	/əˈtɹækt/	vt. 吸引， 引起…注意
edition	/əˈdɪʃən/, /ɪˈdɪʃən/	n. 版， 版本， 版次
simplicity	/sɪmˈpɫɪsəti/, /sɪmˈpɫɪsɪti/	n. 简单， 简易； 朴素
cautious	/ˈkɔʃəs/	adj. 十分小心的， 谨慎的
disappear	/ˌdɪsəˈpiɹ/, /ˌdɪsəˈpɪɹ/	vi. 不见， 失踪， 消失
summit	/ˈsəmət/, /ˈsəmɪt/	n. 最高点， 峰顶； 最高级会议
recession	/ˌɹiˈsɛʃən/, /ɹɪˈsɛʃən/	n. 衰退， 衰退期
conclusion	/kənˈkɫuʒən/	n. 结论， 推论； 结尾； 缔结， 议定
typist	/ˈtaɪpɪst/	n. 打字员
durable	/ˈdʊɹəbəɫ/	adj. 耐久的， 耐用的
negative	/ˈnɛɡətɪv/	adj. 否定的，消极的；负的；阴性的 n. 负片， 底片； 负数
impose	/ˌɪmˈpoʊz/	vi. 利用， 占便宜； 欺骗 vt. 把…强加于；征
ally	/ˈæɫaɪ/, /əˈɫaɪ/	v. 结盟， 联合 n. 同盟国， 同盟者； 支持者
statement	/ˈsteɪtmənt/	n. 陈述， 声明； 结算单， 报表
hence	/ˈhɛns/	adv. 因此， 所以； 今后
memorial	/məˈmɔɹiəɫ/	adj. 纪念的，悼念的 n. 纪念碑， 纪念堂， 纪念仪式
factor	/ˈfæktɝ/	n. 因素； 因子； 系数
boot	/ˈbut/	n. 靴子， 长筒靴； 行李箱； 解雇
pinch	/ˈpɪntʃ/	vt. 捏，拧 n. 撮， 微量
delivery	/dɪˈɫɪvɝi/	n. 投递， 交付； 分娩； 讲话方式； 投递的邮件
rack	/ˈɹæk/	n. 挂架，搁架 vt. 使痛苦， 折磨； 尽力使用
election	/ɪˈɫɛkʃən/	n. 选举； 选择权； 当选
conquer	/ˈkɑŋkɝ/	vt. 征服， 战胜； 破除， 克服
learned	/ˈɫɝnd/, /ˈɫɝnɪd/	adj. 有学问的； 学术上的
substance	/ˈsəbstəns/	n. 物质； 实质； 大意， 要旨； 根据， 理由
frown	/ˈfɹaʊn/	n&vi. 皱眉， 蹙额
bond	/ˈbɑnd/	v. 黏合， 结合 n. 联结，联系；公债；契约，合同
target	/ˈtɑɹɡət/, /ˈtɝɡət/	n. 目标 vt. 把…作为目标； 瞄准
wax	/ˈwæks/	n. 蜡，蜂蜡 vt. 给…上蜡
grind	/ˈɡɹaɪnd/	v. 磨， 磨快
urban	/ˈɝbən/	adj. 城市的， 都市的； 住在都市的
furthermore	/ˈfɝðɝˌmɔɹ/	adv. 而且， 此外
guidance	/ˈɡaɪdəns/	n. 引导， 指导， 领导
risk	/ˈɹɪsk/	n. 危险，风险；引起危险的事物 vt. 冒…的危险， 使遭受危险
flame	/ˈfɫeɪm/	n. 火焰， 光辉； 热情
container	/kənˈteɪnɝ/	n. 容器； 集装箱
leader	/ˈɫidɝ/	n. 领袖， 领导人， 首领
delicate	/ˈdɛɫəkət/	adj. 纤细的， 易碎的； 微妙的； 精美的
discard	/dɪˈskɑɹd/	vt. 丢弃， 抛弃， 遗弃
fancy	/ˈfænsi/	adj. 昂贵的； 别致的 n. 想象力，设想；爱好 vt. 喜欢；想象，猜想
rebel	/ˈɹɛbəɫ/, /ɹɪˈbɛɫ/	vi. 反叛， 造反； 反对， 不服从 n. 反叛分子， 反对者
bounce	/ˈbaʊns/	v. 弹起，反弹；颠簸 n. 弹， 反弹
usage	/ˈjusədʒ/, /ˈjusɪdʒ/	n. 使用； 对待； 惯用法
tissue	/ˈtɪsˌju/, /ˈtɪʃu/	n. 组织； 薄绢， 薄纸， 手巾纸
experimental	/ɪkˌspɛɹɪˈmɛntəɫ/	adj. 实验的， 试验的
loosen	/ˈɫusən/	vt. 解开； 放松， 松弛
rent	/ˈɹɛnt/	v. 租借，租用；出租，出借 n. 租金； 出租
nearby	/ˈnɪɹˈbaɪ/	adv. 在附近 adj. 附近的
carpenter	/ˈkɑɹpəntɝ/	n. 木工， 木匠
cart	/ˈkɑɹt/	n. 运货马车
modest	/ˈmɑdəst/	adj. 谦虚的； 适中的； 羞怯的
cast	/ˈkæst/	vt. 投，扔，抛；浇铸 n. 演员表， 全体演员； 石膏绷带； 铸型， 铸件； 投， 抛
anxious	/ˈæŋkʃəs/, /ˈæŋʃəs/	adj. 忧虑的， 令人焦急的； 渴望的
hatred	/ˈheɪtɹəd/	n. 憎恶， 憎恨， 仇恨
crush	/ˈkɹəʃ/	vt. 压碎， 碾碎； 摧毁， 压垮
largely	/ˈɫɑɹdʒɫi/	adv. 大部分， 大量地
slice	/ˈsɫaɪs/	n. 薄片，切片；部分 vt. 切， 削
frost	/ˈfɹɔst/	v. 结霜 n. 冰冻，严寒；霜
electron	/ˌɪˈɫɛktɹɑn/	n. 电子
incline	/ˈɪnkɫaɪn/, /ˌɪnˈkɫaɪn/	v. 倾斜； 弯； 倾向于 n. 斜坡
truly	/ˈtɹuɫi/	adv. 真正地； 忠实地
cash	/ˈkæʃ/	n. 现金，现款 vt. 把…兑现
counsel	/ˈkaʊnsəɫ/	n. 律师，法律顾问；忠告，劝告 vt. 劝告， 提议
item	/ˈaɪtəm/	n. 条， 条款， 一条
gene	/ˈdʒin/	n. 基因
liver	/ˈɫɪvɝ/	n. 肝
suicide	/ˈsuəˌsaɪd/, /ˈsuɪˌsaɪd/	n&v. 自杀
violet	/ˈvaɪəɫɪt/, /ˈvaɪɫɪt/	adj. 紫色的 n. 紫罗兰
hollow	/ˈhɑɫoʊ/	adj. 空的， 空洞的； 沉闷的； 虚伪的
trunk	/ˈtɹəŋk/	n. 树干； 大衣箱， 皮箱； 汽车后备箱； 象鼻
saving	/ˈseɪvɪŋ/	n. 节省， 节约； 储蓄金， 存款
rely	/ɹiˈɫaɪ/, /ɹɪˈɫaɪ/	vi. 依靠， 依赖； 信赖， 指望
hospitalize	/ˈhɔˌspɪtəˌɫaɪz/	vt. 就医
slide	/ˈsɫaɪd/	v. 滑；悄悄地移动 n. 滑动； 滑道， 滑面； 幻灯片
utilize	/ˈjutəˌɫaɪz/	vt. 利用
sticky	/ˈstɪki/	adj. 黏性的， 胶黏的； 湿热的
prevail	/pɹiˈveɪɫ/, /pɹɪˈveɪɫ/	vi. 流行， 盛行
waist	/ˈweɪst/	n. 腰， 腰部
excessive	/ɪkˈsɛsɪv/	adj. 过多的， 极度的
flesh	/ˈfɫɛʃ/	n. 肉， 肌肉， 肉体
jungle	/ˈdʒəŋɡəɫ/	n. 丛林， 密林， 莽丛； 乱七八糟的一堆
portion	/ˈpɔɹʃən/	n. 一部分，一份 vt. 分配， 把…分给
settle	/ˈsɛtəɫ/	v. 安排， 安放； 调停； 支付， 核算； 安家； 飞落， 停留； 安定
pattern	/ˈpætɝn/	n. 型，式样，模型 vt. 仿制， 使照…样子
harsh	/ˈhɑɹʃ/	adj. 严厉的； 粗糙的
connexion	/kəˈnɛkʃən/	n. connection的英式拼法
vehicle	/ˈvihɪkəɫ/, /ˈviɪkəɫ/	n. 车辆， 机动车； 传播媒介， 工具， 手段
scrape	/ˈskɹeɪp/	v. 刮，擦 n. 刮， 擦； 刮擦声
hardship	/ˈhɑɹdʃɪp/	n. 艰难， 困苦
confuse	/kənˈfjuz/	vt. 使困惑， 把…弄糊涂； 混淆， 把…混同； 混乱， 搞乱
cushion	/ˈkʊʃən/	n. 垫子， 坐垫， 靠垫
scold	/ˈskoʊɫd/	v. 责骂， 训斥
glorious	/ˈɡɫɔɹiəs/	adj. 光荣的； 壮丽的； 令人愉快的
civilize	/ˈsɪvəˌɫaɪz/	vt. 使文明， 使开化， 教育
physician	/fəˈzɪʃən/	n. 内科医生
architecture	/ˈɑɹkəˌtɛktʃɝ/	n. 建筑学； 建筑式样， 建筑风格
stress	/ˈstɹɛs/	n. 压力；强调；重要性；应力；重音 vt. 强调， 着重； 重读
grip	/ˈɡɹɪp/	v. 握紧，抓牢；吸引住 n. 紧握
explore	/ɪksˈpɫɔɹ/	vt. 探险， 探索； 仔细查阅， 探究
display	/dɪsˈpɫeɪ/	vt. 陈列， 展览， 显示
electricity	/ɪˌɫɛkˈtɹɪsəti/	n. 电
climate	/ˈkɫaɪmət/, /ˈkɫaɪmɪt/	n. 气候； 风土， 地带； 风气， 气氛
conductor	/kənˈdəktɝ/	n. 售票员， 列车长； 指挥； 导体
bore	/ˈbɔɹ/	vt. 使厌烦；钻，挖 n. 令人讨厌的人
crust	/ˈkɹəst/	n. 面包皮， 硬外皮； 外壳， 地壳
disorder	/dɪˈsɔɹdɝ/	n. 混乱， 杂乱， 骚乱
criticize	/ˈkɹɪtɪˌsaɪz/	vt. 批评； 评论； 非难
organization	/ˌɔɹɡənəˈzeɪʃən/	n. 组织， 团体， 机构
rage	/ˈɹeɪdʒ/	vi. 狂吹； 汹涌； 激烈进行； 发怒， 发火 n. 狂怒，盛怒；风靡一时的事物，时尚
width	/ˈwɪdθ/	n. 宽阔， 广阔； 宽度
dairy	/ˈdɛɹi/	adj. 乳制品的 n. 牛奶场；乳制品
board	/ˈbɔɹd/	vi. 搭伙； 膳宿 n. 板，牌子；木板，纸板；委员会，董事会；伙食 vt. 上
economic	/ˌɛkəˈnɑmɪk/, /ˌikəˈnɑmɪk/	adj. 经济的，经济学的 n. 经济学； 经济状况
stuff	/ˈstəf/	n. 材料，东西 vt. 装， 填， 塞； 让…吃饱
arrest	/ɝˈɛst/	vt. 逮捕，拘留；停止，阻止；吸引 n. 逮捕， 拘留， 扣留
widow	/ˈwɪdoʊ/	n. 寡妇
distinction	/dɪˈstɪŋkʃən/	n. 差别， 不同， 区分
mature	/məˈtʃʊɹ/, /mətˈjʊɹ/	adj. 成熟的；成年人的；深思熟虑的；到期的，应支付的 vt. 使成熟
navy	/ˈneɪvi/	n. 海军
fee	/ˈfi/	n. 费； 酬金， 赏金
section	/ˈsɛkʃən/	n. 部分， 章节； 部门， 科； 截面， 剖面
influence	/ˈɪnfɫuəns/	n. 影响，作用；影响力，势力；产生影响力的人 vt. 影响
whip	/ˈhwɪp/, /ˈwɪp/	vt. 鞭笞；猛地移动；搅打成糊状 n. 鞭子
protocol	/ˈpɹoʊtəˌkɑɫ/, /ˈpɹoʊtəˌkɔɫ/	n. 礼仪， 礼节； 草案， 议定书
whale	/ˈhweɪɫ/, /ˈweɪɫ/	n. 鲸
provoke	/pɹəˈvoʊk/	vt. 对…挑衅， 激怒； 激起， 引起
threaten	/ˈθɹɛtən/	v. 威胁， 恐吓； 预示快要来临， 是…的征兆； 构成威胁； 可能发生
talent	/ˈtæɫənt/	n. 天才， 才能； 人才
percentage	/pɝˈsɛnədʒ/, /pɝˈsɛnɪdʒ/, /pɝˈsɛntədʒ/, /pɝˈsɛntɪdʒ/	n. 百分比， 百分率
negotiate	/nəˈɡoʊʃiˌeɪt/, /nɪˈɡoʊʃiˌeɪt/	v. 洽谈， 协商； 顺利通过， 成功越过； 协商， 谈判
strain	/ˈstɹeɪn/	v. 扭伤， 拉伤； 尽力； 拉紧 n. 拉紧；过劳；极度紧张；张力；扭伤，拉伤；旋律；品种，家系；气质，个性特点
hunt	/ˈhənt/	v. 打猎； 搜寻； 驱逐
violin	/vaɪəˈɫɪn/	n. 小提琴
remonstrate	 v. 抗议
package	/ˈpækədʒ/, /ˈpækɪdʒ/	n. 包裹，包装；一揽子交易 vt. 把…打包； 包装
visible	/ˈvɪzəbəɫ/	adj. 可见的， 看得见的， 有形的
crisis	/ˈkɹaɪsəs/	n. 危机， 存亡之际； 关键阶段
rail	/ˈɹeɪɫ/	vi. 责骂， 抱怨 n. 栏杆，横杆；铁轨，轨道；铁路
survival	/sɝˈvaɪvəɫ/	n. 幸存； 幸存者， 残存物
germ	/ˈdʒɝm/	n. 微生物， 细菌； 幼芽
inner	/ˈɪnɝ/	adj. 内部的； 内心的
market	/ˈmɑɹkət/, /ˈmɑɹkɪt/	n. 市场； 股市； 行情， 销路
keen	/ˈkin/	adj. 热心的； 激烈的； 敏锐的， 敏捷的
glimpse	/ˈɡɫɪmps/	vi. 看一眼，一瞥 vt. 瞥见 n. 一瞥， 一看
detective	/dɪˈtɛktɪv/	n. 侦探， 私人侦探
transfer	/ˈtɹænsfɝ/, /tɹænsˈfɝ/	v. 搬， 转移； 调动， 转学； 转让， 过户； 乘车， 转乘
footstep	/ˈfʊtˌstɛp/	n. 脚步， 脚步声， 足迹
veteran	/ˈvɛtɝən/, /ˈvɛtɹən/	n. 老兵， 老手
indifferent	/ˌɪnˈdɪfɝənt/, /ˌɪnˈdɪfɹənt/	adj. 冷漠的， 不积极的； 一般的， 平平的
outside	/ˈaʊtˈsaɪd/	adj. 外部的 prep. 在…的外面； 向…的外面； 除…以外 n. 外部，外表
nerve	/ˈnɝv/	n. 神经； 勇敢， 胆量
affection	/əˈfɛkʃən/	n. 感情； 爱， 爱慕
eagle	/ˈiɡəɫ/	n. 鹰
cruise	/ˈkɹuz/	vi. 航游，巡航；缓慢巡行 n. 航游， 游弋
elementary	/ˌɛɫəˈmɛntɝɹi/, /ˌɛɫəˈmɛntɹi/, /ˌɛɫəˈmɛntʃɹi/	adj. 基本的， 初级的
topic	/ˈtɑpɪk/	n. 题目， 论题， 话题
solemn	/ˈsɑɫəm/	adj. 庄严的， 隆重的； 严肃的
perceive	/pɝˈsiv/	vt. 感知， 感觉， 察觉； 认识到， 意识到； 理解
omit	/oʊˈmɪt/	vt. 省略； 遗漏
embarrass	/ɪmˈbɛɹəs/	vt. 使窘迫， 使为难
option	/ˈɑpʃən/, /ˈɔpʃən/	n. 选择， 选择权， 选择自由； 选择的事物或人， 选课
erroneous	/ɛˈɹoʊniəs/, /ɝˈoʊniəs/	adj. 错误的， 不正确的
raid	/ˈɹeɪd/	n&vt. 袭击； 突入查抄， 突入搜捕； 劫掠
politics	/ˈpɑɫəˌtɪks/	n. 政治， 政治学； 政纲， 政见
acute	/əkˈjut/	adj. 严重的； 急性的； 灵敏的， 敏锐的； 精明的
limitation	/ˌɫɪmɪˈteɪʃən/	n. 限制， 限度； 局限
sponsor	/ˈspɑnsɝ/	n. 发起者 vt. 发起； 资助， 赞助； 支持
kindergarten	/ˈkɪndɝˌɡɑɹtən/	n. 幼儿园
unexpected	/ˌənɪkˈspɛktɪd/	adj. 想不到的， 意外的
